Plant state,Plant name,Plant Id,Balancing Authority Name,Balancing Authority Code,PCA Generation (MWh),Latitude,Longitude,Plant primary fuel,Plant primary fuel code,Net generation (MWh),CO2-e Emission (tons),Water intensity (m3/MWh),Carbon intensity (Tons/MWh),Generation Ratio of Power plant,Water Consumption (m3),Subbasin,HUC8,HUC8 ID
AZ,Black Mountain Solar LLC,58042,Arizona Public Service Company,AZPS,17517674,35.0227,-114.1627,SUN,SOLAR,21080,0,0.01,0.00,0.0012,160,Sacramento Wash,15030103,15030103
AZ,Bonnybrooke PV,60413,Salt River Project,SRP,67680176,33.053,-111.34,SUN,SOLAR,138774,0,0.01,0.00,0.0021,1055,Middle Gila,15050100,15050100
AZ,Buckeye Union HS District 201,58037,Arizona Public Service Company,AZPS,17517674,33.419167,-112.576111,SUN,SOLAR,6972,0,0.01,0.00,0.0004,53,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,Canyon Del Oro High School Solar,60685,Tucson Electric Power Company,TEPC,12326506,32.374,-110.974,SUN,SOLAR,2919,0,0.01,0.00,0.0002,22,Upper Santa Cruz,15050301,15050301
AZ,Chino Solar Valley,57560,Arizona Public Service Company,AZPS,17517674,34.71843,-112.42899,SUN,SOLAR,44578,0,0.01,0.00,0.0025,339,Upper Verde,15060202,15060202
AZ,Cholla,113,Arizona Public Service Company,AZPS,17517674,34.9394,-110.3033,SUB,COAL,3615007,4498557,3.31,1.24,0.2064,11976707,Middle Little Colorado,15020008,15020008
AZ,Cogeneration 1,56229,Tucson Electric Power Company,TEPC,12326506,32.229922,-110.952797,NG,GAS,56089,16982,0.80,0.30,0.0046,44705,Upper Santa Cruz,15050301,15050301
AZ,Cogeneration 2,59233,Tucson Electric Power Company,TEPC,12326506,32.240833,-110.948333,NG,GAS,35413,10639,0.80,0.30,0.0029,28225,Upper Santa Cruz,15050301,15050301
AZ,Cogenra - TEP,58832,Tucson Electric Power Company,TEPC,12326506,32.101944,-110.813333,SUN,SOLAR,1920,0,0.01,0.00,0.0002,15,Upper Santa Cruz,15050301,15050301
AZ,Coolidge Generating Station,56948,Salt River Project,SRP,67680176,32.917399,-111.503327,NG,GAS,155334,92806,0.80,0.60,0.0023,123805,Middle Gila,15050100,15050100
AZ,Copper Crossing Solar LLC,57318,Salt River Project,SRP,67680176,33.160601,-111.484011,SUN,SOLAR,50089,0,0.01,0.00,0.0007,381,Middle Gila,15050100,15050100
AZ,Coronado Generating Station,6177,Salt River Project,SRP,67680176,34.5789,-109.2708,RC,COAL,3597872,4616552,2.09,1.28,0.0532,7515788,Carrizo Wash,15020003,15020003
AZ,Cotton Center Solar,57561,Arizona Public Service Company,AZPS,17517674,33.034722,-112.661667,SUN,SOLAR,36792,0,0.01,0.00,0.0021,280,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,Davis Dam,152,Western Area Power Administration - Desert Southwest Region,WALC,16128479,35.197044,-114.570669,WAT,HYDRO,1103311,0,269.56,0.00,0.0684,297408295,Havasu-Mohave Lakes,15030101,15030101
AZ,Davis Monthan AFB (AZ) West Airfield,59779,Tucson Electric Power Company,TEPC,12326506,32.17356,-110.899734,SUN,SOLAR,2536,0,0.01,0.00,0.0002,19,Upper Santa Cruz,15050301,15050301
AZ,De Moss Petrie Generating Station,124,Tucson Electric Power Company,TEPC,12326506,32.252273,-110.992148,NG,GAS,5154,4679,0.80,0.91,0.0004,4108,Upper Santa Cruz,15050301,15050301
AZ,Desert Basin Generating Station,55129,Salt River Project,SRP,67680176,32.9042,-111.7889,NG,GAS,2335543,1097731,0.85,0.47,0.0345,1987334,Lower Santa Cruz,15050303,15050303
AZ,Douglas,114,Arizona Public Service Company,AZPS,17517674,31.364122,-109.5538,DFO,OIL,141,321,2.06,2.28,0.0000,291,Whitewater Draw,15080301,15080301
AZ,Dry Lake Wind II LLC,57379,Arizona Public Service Company,AZPS,17517674,34.6062,-110.1734,WND,WIND,113527,0,0.00,0.00,0.0065,431,Silver,15020005,15020005
AZ,Dry Lake Wind LLC,57098,Salt River Project,SRP,67680176,34.6596,-110.2842,WND,WIND,110551,0,0.00,0.00,0.0016,420,Upper Little Colorado,15020002,15020002
AZ,Foothills Solar Plant,57997,Arizona Public Service Company,AZPS,17517674,32.64856,-114.428741,SUN,SOLAR,93025,0,0.01,0.00,0.0053,707,Lower Gila,15070201,15070201
AZ,Fort Huachuca Solar PV Project,58972,Tucson Electric Power Company,TEPC,12326506,31.555278,-110.35,SUN,SOLAR,35988,0,0.01,0.00,0.0029,274,Upper San Pedro,15050202,15050202
AZ,"Gato Montes Solar, LLC",58842,Tucson Electric Power Company,TEPC,12326506,32.102778,-110.819722,SUN,SOLAR,8900,0,0.01,0.00,0.0007,68,Upper Santa Cruz,15050301,15050301
AZ,Gila Bend,59020,Arizona Public Service Company,AZPS,17517674,32.940833,-112.881389,SUN,SOLAR,96214,0,0.01,0.00,0.0055,731,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,Gila River Power Block 2,60768,Salt River Project,SRP,67680176,32.975,-112.694444,NG,GAS,2248005,988781,1.03,0.44,0.0332,2307518,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,Gila River Power Station,55306,"Gila River Power, LLC",GRMA,6530008,32.975,-112.6944,NG,GAS,6530008,4052239,1.03,0.62,1.0000,6712360,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,"Gilbert Solar Facility I, LLC",58543,Arizona Public Service Company,AZPS,17517674,33.355862,-111.802355,SUN,SOLAR,4076,0,0.01,0.00,0.0002,31,Middle Gila,15050100,15050100
AZ,Gillespie 1,58501,Arizona Public Service Company,AZPS,17517674,33.026389,-112.665833,SUN,SOLAR,41594,0,0.01,0.00,0.0024,316,Lower Gila-Painted Rock Reservoir,15070101,15070101
AZ,Glen Canyon Dam,153,Western Area Power Administration - Desert Southwest Region,WALC,16128479,36.936614,-111.483872,WAT,HYDRO,3958503,0,281.01,0.00,0.2454,1112395984,Lower Lake Powell,14070006,14070006
AZ,Glendale Energy Power Plant,57829,Arizona Public Service Company,AZPS,17517674,33.540324,-112.306361,LFG,BIOMASS,14228,0,1.94,0.00,0.0008,27567,Aqua Fria,15070102,15070102
AZ,Gray Hawk Solar,61272,Tucson Electric Power Company,TEPC,12326506,35.3635,-113.8978,SUN,SOLAR,76076,0,0.01,0.00,0.0062,578,Hualapai Wash,15010007,15010007
AZ,Griffith Energy Project,55124,"Griffith Energy, LLC",GRIF,2071721,35.054029,-114.133272,NG,GAS,2071721,889782,1.08,0.43,1.0000,2228509,Sacramento Wash,15030103,15030103
AZ,Headgate Rock,7179,Western Area Power Administration - Desert Southwest Region,WALC,16128479,34.168264,-114.277356,WAT,HYDRO,67925,0,0.00,0.00,0.0042,0,Imperial Reservoir,15030104,15030104
AZ,Hoover Dam (AZ),8902,Western Area Power Administration - Desert Southwest Region,WALC,16128479,36.01551,-114.738006,WAT,HYDRO,1726548,0,0.00,0.00,0.1070,0,Havasu-Mohave Lakes,15030101,15030101
